text,number_sentiment
there`s nothing worse than getting a text about a dog that was abandoned in your town,2
 My computer got screwed to hell by viruses. I just finished wiping the drive and reinstalling Windows XP  I want a Mac...,2
ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,2
i want to cry,2
errr....I don`t want to go sit in the heat and watch a high school graduation.,2
My phone does not work in the DONS,2
Oh ****!  I forgot to eat! Grumble grumble.,2
 they won`t  guys are retarded!,2
_785 yeah now I`m done BUT I have to work all weekend  I`m sooooo bummed about it,2
Sitting on the bed NOT wanting to go to work,2
Ahh ! I just woke up.  forgot to reset my alarm clock.,2
 it would hurt only when you touch it or when it gets hit. But when you don`**** won`t  but after a month it wouldn`t hurt na!,2
" MISS YOU, TOO!",2
  you are disappointing me......,2
Brand new is playing at the epicenter in July when I`m in NY. Jesse lacey why do you hate me?,2
"i miss him  ALOT but im not gonna talk to him, i HOPE",2
and its over now  watch on now? hmmm,2
 i think i hate you.  i didnt really want to but you make it hard for me to like you what with the cake and concert on the  ...,2
yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!,2
" Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste.",2
im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore,2
Thunder & lightning scarededededed me!,2
". I missed your party...you must forgive me pleassse, i feel bad..",2
I think my phone has officially bit the dust.,2
favorite shirt ruined:death by bleach  #fb,2
Everythings Sooo Messed Up!!!!!!! Life Sucks!!!!!!!!!!,2
**** i`m gonna miss the grand prix.I`m going to have to try and sneak back to the room,2
is so hungover. what a crazy night. i`m also in the bad books with mother!!,2
I dont associate with fake asses!,2
wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad,2
Found out I have to go to the US again in August. Getting tired of transatlantic flights. Not good for my carbon footprint either,2
Nobody does it better than www.traveljunky.com Not even half as good   ? http://blip.fm/~5jv7j,2
" I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing",2
Honza takes his flight back to the Czech Republic in the morning  I`m really going to miss him.,2
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",2
  i wlda seen it wit you! dummyhead.,2
just cried all the way through the final episode of ER... and the `previously on ER` documentary about it!,2
i need some hot green tea  I cant sleep  ....,2
 we r the lost troopers. But I want to know,2
I really miss my phone  i cant wait till my new one comes,2
annoyed the #ppt didn`t save my changes.  When I explicitly saved.,2
I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,2
*sigh* i always disappoint people who get in my way...  everyone .. i`m OUT.. i might disappoint everyone else here..,2
yeah but i was trying to send a msg to you  :S also trying to put a pic on but it aint happening   do they have to approve it or summit?,2
"Poor Greg  stupid UK, always doing the sympathy vote. xo",2
"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting",2
 It`s becoming a very tough race. Linda is indeed very talented. But someone has to go every week.  We cut two this week.,2
" I think i have same disorder, stay up al night 4 no reason n sleep al day !!  SUUUKS",2
 gaah rain for tomorrow,2
"Holy cow! Archie Andrews finally marries Veronica Lodge.This is not what I thought will eventually happen in my 6th grade  Awww...bad, bad",2
Gotta go now .. i`m going to Circus .. the real Circus not Britney`s Tour  sadly ..,2
Walking to class. I hate not having a bike....especially mine.,2
 aww  I have to go to class on that day... So imma do some weird half day thing just cause I wanna see what it`s about,2
"just woke up, its laura`s last full day here  Last night we watched embarrassing home movies",2
" dude, i didn`t know it was a personal experience. sorry something like that went down",2
"I woke up with a sore throat  Work tonight. Grad practice in the morning, hanging with family, then GRADUATING FROM HIGH SCHOOL",2
 Right here! Army Wife in Germany! I can`t STAND that I cannot be there this summer!,2
is feeling sad... for some reason..  http://plurk.com/p/wxji3,2
"is back from the park and is very sunburnt  cant wait 4  2night,and is gonna get smashed..bein sober jst wnt b as fun!",2
It just occured to me..... tonight is Cheri`s Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.,2
Nooo i wanna watch the comet  dont wanna go workk!!!,2
 lol seriously.  fail. ::sigh::,2
grrh my phone (brand new might i add) keep just switching itself off and others are saying theirs does the same,2
"to be really really... not bored but bad, i won`t now the news  but thats ok. BRB x",2
_RedBone stop that babe u makin me feel very bad now! :/,2
Ugh. Kinda bored.,2
just wants to get it over and done with. I miss working,2
 (votes) sadly no.. but did you vote for my log yet?  I`m gonna vote for yours,2
Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday,2
**** wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!,2
My parents wachting tv but it is terrible and there is nothing else  me so sad,2
 and now they are one. To become a bigger pain.,2
  Ah bad times   I hate exams. I feel so unprepared this time as well. Sucks haha.,2
"Oh PW, you done me wrong. The signing time in ur children`s article are all wrong...and no Neil Gaiman?! You tease me.  #bea",2
 i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,2
Im bored   -musiic[BOX],2
 really? I hate the mobile twitter..its hard to tweet with a sidekick,2
"Right, **** the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",2
"is upset, I left my phone at home again",2
I must have just missed   & I guess I scared  & _TX off...  Sorry,2
feels disappointed..mahirap talaga mag-supervise ng tao..  http://plurk.com/p/wxqwa,2
im back to this z-index problem...again,2
mary hates me again  i wana walmart it butno one wants to go,2
"I`m always a little sad to see followers I really like, decide to unfollow me.",2
 Aw poor you..ironing! Eek! lol It`s raining here too.....prob try and get out with the kids later..nt too exciting im afraid!,2
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,2
Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.,2
  I do not mean to laugh but a little giggle did come out - sorry,2
Two more loads and the moving crew`s done! Started at 7am and i`m done for the day! Too bad the ac doesn`t work in my new place  oh life!,2
oh...my foot`s hurting now. About 5 minutes after I took it out though.,2
" not  you, me, just drank too much.",2
Don`t really wanna go school on Monday to be honest,2
I also concede to my first Twitter grammar fail.,2
so I`m kinda pissed that Boys Like Girls is gonna be at Kentucky Kingdom on a date i already have a show,2
"Writing and researching. Tired of being foolish, so I`m educating myself & moving forward. Gonna marry a white boy they do you right!!!",2
Ugh talk to me someone  I`m really bored.,2
" ohhh ok. so like, it`s more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn`t unlock it",2
I`m grounded til tomorrow. Sorry to anyone I made plans with.  It`ll have to be tomorrow. (annoyed) http://plurk.com/p/x332r,2
too bad i`m @ work  ...,2
I Wish i was still in Cornwall - i miss my auntie`s dogs,2
 IDK....I`m trapped at work all day,2
Down again   seems like it never gonna stop and I`ll never get what i want,2
Oh good God crampsss...,2
" Didn`t think of that.  Why can`t people just be nice? Why would anyone think it`s ok to say that, much less make a movie.",2
" BAH, you`be made me all hungry now",2
Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu Jaunty  Kernel isnt loading the snd-hda-intel drv,2
I am very sad because I have gone on the show McFly fan I am of them!,2
"_bui yeah right. I just accepted my grants, and it covered at least 10,000+ of my school fees. tritonlink is down so i cant verify",2
getting ready for work. boohoohoo i dont wanna go to work!,2
listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,2
 I`m SO jealous- it`s pouring right now,2
is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn`t gryffindor,2
 Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,2
 i sorry sweetpea... almost over with!,2
 I`m sad that I missed you guys last night!,2
" I kind of figured. He`d probably be unable to reason out why a lot of the things in manga happen, or the way they happen.",2
cant believe i stay out this late!.....waking up for work in T-minus 4hours,2
 dude fail.  i know exactly where this place is too,2
_breannarose fuuuuuuck  idk if andy can get youuuu,2
 That is super sad   How is Bart etc holding up?,2
the plan to not spend money is not going well,2
no luck in goin to forum.. im about the only person on earth not goin out,2
AHHHH! Cant find anything because I have way too much open,2
"_C I can`t find the original on blip.fm and the Ex Models version, not so much...",2
what?! i just missed home + away! nooooooooo,2
Sunburn is not as fun as I remember,2
big sis moved out 2day  its gna b weird without her! X,2
  He`s got adjusting his mate`s online shop... Zzzzzzzzzzzzzzz... Boring...,2
ahh I hate being sick  Watching atonement! and sleeping,2
and my other peep got onto a game site who i will never see again,2
OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?,2
 I`m going to kill the person who should have went down to Manchester for me.  (only kidding; don`t want the police on my door),2
Head is throbbing from lack of sleep and still have mucho work. Doesn`t feel like a Friday,2
" KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",2
 Floor mopping sounds unappealing,2
 I heard from  &  you`re away. I miss you too  Look forward to tweeting with you when you return.,2
ughhh rejected from the 09 mediation program. SUCKSSSS.,2
i just found a crack in my baking bowl...milk spilled everywhere,2
Soooo full that im starting to feel sick,2
http://twitpic.com/67rcp - Another one...those were taken at 3 am MET! U see I have a real sleeping disorder,2
 i want u to know i don`t like u hun  j/p u know we go back,2
"****, I cut my finger!",2
" *hugs* me not sad really, me just messing",2
Well on a normal day I`d already be done with work...Unfortunately this is not a normal day. Which means I`ll be in the office till late.,2
"Having a hectic day travelling from PJ to UNITEN, back to PJ. Working now at CC office.",2
"Oh, ouch. That hurt.  **** washing machine is out to get me!  <.<    >.>",2
_Cat  we all know and yes dont remind me im so effin jealous  **** aust some times,2
" Oh, I`m so sorry!...my kitty is there right now being checked...losing lots of weight over last 3 wks. Not good",2
 the there`s confuse me,2
Im a loner  haha suckss,2
has has an ok day with jo. She bit me and now its bruised.,2
BGT!!!!!!! - Will be gutted when it finishes tomorrow  - Stavros Flatley all the way!,2
 I`m so jealous! Wish I could join u. It`s so cold in LA right now.,2
my deep fry drumsticks were not as good as i thought they would be,2
 ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here.,2
boo (but will I listen?),2
Wonders why its so hard for me to concentrate...,2
ive burned like a ginger kid in the sun. now my arms are red,2
I smashed my pinky in julia`s car door... **** my life...,2
I hate it when I am in pain,2
"1 more goal, Gila!! But his last game is against milan. Dillematic 4 me",2
is still waiting.,2
"Sick. Feel like jello, can`t talk, and delirious.",2
wondering if anyone has seen my cell phone i cant find it anywhere,2
can i have some followers :` ( ... i`m so sad...    NOW THAT I`M LOSING HOPE -pressure,2
Sitting in on a Friday Night Bored,2
i wanna leave work already! Not feelin it 2day,2
" I had mailed  for something, you got the e-mail, I didn`t which should probly mean I won`t get it",2
I WANT A GARDEN  sitting inside when it`s sunny sucks.,2
"Bah, here I was out in the sun in my new hammock, drinking beer, playing the guitar and singing, and the mosquito chased me inside",2
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,2
****! tying run is on 2nd!  let`s hold em` Raiders!,2
"oh no  according to laineygossip, taylena is OVER!  bc of his fame?! gosh poor  two heartbreaks in a row :-/",2
Back at the vet and it isn`t good,2
I think my cheap sunglasses are falling apart. Oh well,2
 I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.,2
gaahhhh! i want my #comet09 stream back...,2
no more arrested development. i am sad.,2
today is going to be AH. Giving notice to my boss today. She is going to be upset  I`m totally stressed.,2
" hey chicLit whats happening? Just trying to promote my business, it`s really hard!",2
"Its friday and i`m sick, story of my life...",2
 yes but they hate it when we do it...silly boys,2
This poor butterfly was dead  http://twitpic.com/66vlw,2
" we`ll be back sunday to play @ the horse, I was out last night at mex you were not  miss you",2
Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go,2
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,2
"Ouch, my back. Man I`m sick",2
" totally forgot about the dgree show et al. Now ensconced in home, wine and ready for bed",2
Lula is not feeling well.  http://tinyurl.com/m8kcsq,2
" helllllloooooooooooo tom, gig tonight? sorry im not sure when your shows are over there! miss you in the UK  HI HI HI HI HI ****",2
 Ouch. Better get used to it. I think 22 to 25 are prime marriage years.,2
Already know I`m gonna miss josh next week.. My mom needs more surgery.. Work sucks.. Not a good day. Oh and my tum tum hurts,2
 Basket Case is mine  I miss it.. Going to have to listen a **** load now,2
"my entire body hurts.  shower, hot tea and tv please..",2
_rashid reeeaaaally... why though??  ew i hate stockings,2
dammit i cant watch stadium music,2
Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg,2
On the set of Chuck Bass` New York Palace Hotel. Too bad they weren`t filming today.   http://twitpic.com/67nht,2
 and it never arrived. have to wait until Monday now,2
 I`m praying for you and your family beav! I`m so sorry for your loss,2
"Gettin some fuel, too bad no one is reading this!",2
I cut my thumb on a broken coffee pot.,2
" well, I took it in early `00, graduated in `01. we were the final stage guinea pigs  it seriously is a waste of time.",2
At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!,2
"I hate working nights, cos I`m not really able to enjoy this gorgeous weather, as I will be asleep",2
looks like the eprocurement e-mail address from office mate is blacklisted by IT here.. asking them to whitelist now.,2
The VP is gone...so why am I getting a headache?    Time to have some coffee and fight it off. #migraine #ohnoyoudidnt,2
" Im not getting any treatments, we are just gonna hang out at the pool and the hot tubs.",2
"aku kbangun gara2 mimpi , very bad dream",2
this is what i think about the world  at hannah montana set.... im missing tennessee ALOT today,2
 and he REALLY doesn`t like Shiny Happy People. I`m a local REM expert btw. Saw them for the first time in 1986.,2
elliott claims steak and shake has been doing this for months...not exciting anymore...,2
Took a short nap now Im ready for work. My sun burn hurts,2
feel like ****.....and will continue to for as long as it takes,2
I give in to easily,2
I`ve got a dentist`s appointment soon!  The drill feels like I`ve got my brain in a blender - not looking forward to it,2
 I`m sorry to hear that.,2
I`ve got a headache  !!!,2
i can`t seem to access Restuarant City due to some internet / javascript problem...,2
so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry,2
"Browsing through the web. And expecting to see the PMS forum back up, but no luck",2
"You know for a short week, it certainly dragged",2
all my pancakes always end up soggy.,2
My best mate found out that I am moving. She doesn`t understand I wanna do something with my life; Leaving to go to Uni..,2
 god I need to revise today! I`m so lazy,2
 the kid that got a second chance shudnt have. mowgli didnt. gutted,2
My back hurts...really bad,2
The beer buzz is almost gone.. The world has become complicated again,2
 I **** miss that band so so much,2
"After being down for several hours, finally my site is back online. Silly DNS setting mistake",2
"bah, i h8 waking up",2
"can`t wait to get his hands on his new blackberry, this one is dying on me",2
 WHAT! That`s horrible! To purposely write about it to a bunny is just mean & cruel!    Not to mention just plain tacky....,2
Hadnt cried in such a long time,2
One lane stop and go trafffffffic suckssss! Almost to wwork thanks to **** miinnnesota roads,2
Went to sleep and there is a power cut in Noida  Power back up not working too,2
" ?? Sorry you posted the vid again, but it won`t load for me...",2
"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",2
" nothing  it`s sad, actually",2
New picture isn`t working,2
" Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",2
"And they are so censoring over at nin.com, nobody can really speculate about these things are disagree with anything",2
" mmmm now you`re speaking my language! (Unfortunately, in militant diet mode-am seriously thinking of  competiton-so no TB I guess",2
"Just to drive  crazy, I miss the big blue selected tweet highlight. I can`t tell which tweet is selected anymore",2
virus hunting on computer - always wondering what it will destroy,2
"I hate different referenced assemblies. My FNH goes against castle 1.1, Caliburn against 1.03 .. not to mention dynamicproxy in NH",2
"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window.....",2
 my feelings are hurt,2
 i didn`t get to chat!   .  oh well.  time to eat a praline.,2
 wish we could come see u on Denver  husband lost his job and can`t afford it,2
Sad that when fitness center reopens will not have our Zumba class anymore.  Just found out today on our last class before closure.,2
"fourteen hours later, i`m still having the worst allergy flare-up in my life from shooting an engagement session in a field last night...",2
IÃ¯Â¿Â½m JBobsessed  xD I miss them soooooo much!  They should have a live web cast on bookface ?  EVERY thursday xD,2
Is too much of a bro,2
aaawww im soooOOooo tired today.. i dont feel good.. i dont wanna go to work wah..  but yeah im goin to work in a few mins. til closing..,2
"about to head to Starbucks. was gonna take the bus to Paradise and Starbucks, but missed it by 2 minutes.",2
i miss 'mr.',2
In Seattle Washington....im SOOOOO hungry&i miss alaska,2
" Hey, that link didn`t work for me",2
" Awwwww, i`m sorry",2
i have such a sore head,2
 true that! don`t know why i bothered this morning cos I just put it up in a pony soon as I got to work anyways,2
"Lost his favorite thing he loves to always have on him, his story of the year Key Chain..",2
"just got back from the ER... i cut myself while trying to cook a nice lunch  3 stiches on my right index finger, talk about ouchie",2
Yea baby!! Im gonna miss you so much,2
OMG. Period cramps are FTL. So much pain.,2
michael scholfield is no more. He is dead. I am sorry,2
 I`m working on a painting due for school and hating myself for sleeping all **** day and starting this so late.,2
"Dang, I need a bed in the bay area Monday / Tuesday night  Anyone able to help out?",2
" - I`m really thinking about staying till tomorrow .. I have to be back in Philly 2nite, but I wanna stay so bad.",2
 i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo,2
Just rang the irish one. Drunk. Must confiscate phone.  hate him lots.,2
I miss him  ARGH,2
  i got too do course work   i hate it it is hard this one,2
Bought new racquet for $145... wish this racquet will do the  half and God the rest .well despite recession things are fkin costly,2
_cupcakes that busy wowsa .. okay my pizzas gonna be a while  sorry..,2
argh! my embouchure= FAIL! makes me sad,2
  Sorry to hear that.,2
"Ugh, my internet was down!",2
im writing an exam on a SATURDAY  that should be illegal  where`s my weekend?,2
i`m a little sad that school ended today i`m moving so i`m going to miss all my new friends from this year.    just got a hair cut,2
"Not to thrilled about the marathon this sunday, they assigned me on the street. Less $$$",2
" fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one.",2
" Ouch. I used to hate it when I did that  (And then there are the irate callers who were trying to record, getting p***ed, etc)",2
Just had an iced coffee. Christ that tasted nasty,2
" Every time I have Friday off. Sadly, that`s not too often",2
Creased my nikes!!  ohh well... http://twitpic.com/66zfd,2
 that sucks - I`m still hungry and sucked down my food.,2
SF felt WAY too intense for me tonight. Hope that doesn`t keep up. Upset with myself for not hanging with  and pearl,2
 a wet and dirty one now,2
 I fee your pain its lady Ga Ga and It will drive you insane oh dear God her songs are in my head,2
 I`m So Mad I Wont Be There!!!!!!!!! UGHHH!!!,2
 What? I was being serious.,2
 won`t need my hugs anymore,2
 oh man! They better do something to fix that!! ugh stupid Verizon,2
Needs a job BADLY!!!,2
_mejer I couldn`t remember what all the different cords meant. I lost half of them leaving the graduation anyway.,2
mcfonalds roulette i i lose. they forgot mygrilled snack wrap,2
"Panda express, it`s been so long. I`ve missed you",2
Well school`s finally over and idk but I`m sad  I`ll miss my teachers. Goodbye Mrs R. and Mr. Collister,2
"The sun is attempting to increase her efforts. Alas the same cannot be said for me. I see a bath, a couch & a book in my immediate future",2
Is anyone else having a bad Friday? Is not a fun day today.,2
 Doubtful! It`s going to be on 24/2!,2
 nah is next week honey ma fault for confusin u,2
 it`s really gutwrenching.  So sad,2
I want to hang out and play!  But I can`t.  Fiddle Faddle on my workload!,2
 OH FACK U GAVE ME POLICE THATS SOME SERIOUSE ****,2
Elena left this morning. Nine months spent living with her and now it`ll probably be about 2 years till I see her again. Hmph.,2
" Oh, I`m so sorry. I feel your pain. I can`t kill them either, and I`m always the one that finds them. Why is that?",2
" I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY **** UP, Christ",2
_Foster Still not working,2
@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*,2
This thunder is scaring the hell out of me...geez...I HATE THUNDER  we better not loose electricity... #fb http://myloc.me/2144,2
oh! i think i didnt do well on my photo editing for Db!  sorry :|,2
tried to do something funny on twitter but failed.,2
Thinks she`s getting sick.....,2
"layenn down,uughh dunt feel well",2
Puzzled by people`s mood swings... it makes me somewhat sad that I can`t pinpoint  how  they feel,2
wants to go out tonight but cant get home,2
"Oops, they don`t open until 9am",2
 OMG I just spit my drink out! RIP hair straightener!!,2
"it`s raining here  i`m stuck inside working today so i`d probably be peed off if it was sunny outside, i`m now ok with the rain",2
" I`m a jerk...  now I can`t go out    Dammit Frank, why do I suck so bad?",2
 I will let you know as soon as I figure it out... sorry about the mix up; i was supposed to get off work an hour ago,2
Today was sooo boring in school. I was sleeping all the time,2
feelin lonely now after spendin the last 50 hours with my friends,2
 what`s goin on hun?  I`m worried about you,2
i tried calling work 5 times and they wont answer,2
is off to get the boy and then to his doc. Persistent coughs are not good.  http://plurk.com/p/x285t,2
"ftsk (L) haven`t listened to them in a while. so **** pissed off my with so called `friends`, can`t wait to leave this **** school",2
"   Sorry, we`ll try to keep it down.",2
" Not true, you can get worse burns today... don`t forget sunscreen",2
i got stung. by a bee.,2
_Girl OOC sorry we keep missing each other...,2
 i feel u  but its sooo close to me hard not to  but i cant so no point ugh,2
